Consultant,Contno,Service
"AECOM Technical Services, Inc.,Oakland, CA,",04A5714,Environmental Generalist Services
"Kleinfelder, Inc.,San Diego, CA,",04A5741,Environmental Generalist Services
",S2 Engineering, Inc.,,Newark, CA,","04A5786,","Roadway Construction Services,"
",WRECO,,Walnut Creek, CA,",04A5818,Water Quality Studies Services
",TRC Engineers, Inc.,,Concord, CA,","04A5823,","Roadway Construction Services,"
",Jacobs Engineering Group Inc.,,Oakland, CA,","04A6021,","Roadway Construction Services,"
"AECOM Technical Services, Inc.,Oakland, CA,",04A6198,"Design Engineering & related Project Development, & Construction Support Services"
",Arcadis U.S., Inc.,,Los Angeles, CA,",06A2476,Roadway Construction Services
",Far Western Anthropological Research Group, Inc.,,Davis, CA,","06A2495,","Cultural Resource Services,"
",Michael Baker International, Inc.,,Los Angeles, CA,","06A2647,","Roadway Design/Project Development & Design Support Services,"
",NCM Engineering Corporation,,Gold River, CA,","06A2667,","Roadway Design/Project Development & Design Support Services,"
"Galvin Preservation Associates Inc.,El Segundo, CA","07A4811,",Environmental Generalist Services
"Fountainhead Consulting Corporation,Anaheim, CA",07A4906,"Roadway Construction Services,"
",Stantec Consulting Services Inc.,,Irvine, CA,",07A4918,Land Surveying Services
",Arcadis U.S., Inc.,Los Angeles, CA,","07A4986,","Construction Claims Support Services,"
",Jacobs Engineering Group Inc.,,Los Angeles, CA,",07A5005,Traffic Operations and Traffic Management Planning Services
",TRC Engineers, Inc.,,Riverside, CA,","08A3068,","Specialty Construction Services,"
"EXP U.S. Services Inc.,San Bernardino, CA",08A3164,Program/Project Management Services
"Kleinfelder, Inc.,San Diego, CA,",11A2880,"Hazardous Waste Site Investigation and Design Services,"
"Jacobs Engineering Group Inc.,San Diego, CA",11A3122,"Roadway Design and Roadway Design-related Project Development and Construction Design Support Services,"
"TRC Engineers, Inc., Irvine, CA",12A1860,Roadway Construction Services
",Nichols Consulting Engineers, Chtd.,,Richmond, CA,","56A0623,","Service: Pavement Engineering Services,"
",T. Y. Lin International,,Sacramento, CA,",59A1037,Technical Specialist Assistance Services - Project Delivery Program
",HDR Construction Control Corporation,,Riverside, CA,","59A1063,","Construction Inspection Services,"
"TRC Engineers, Inc.,San Diego, CA",59A1095,Structure Construction Engineering and Inspection Services
",HDR Construction Control Corporation,,Sacramento, CA,",59A1103,Structure Construction Engineering and Inspection Services
