title,author,,,source
In Search of Lost Time,Marcel Proust,,,Publisher
Ulysses,James Joyce,,,Wikipedia
Don Quixote,Miguel de Cervantes,,,Wikipedia
One Hundred Years of Solitude,Gabriel Garcia Marquez,,,Publisher
The Great Gatsby,F. Scott Fitzgerald,,,Wikipedia
Moby Dick,Herman Melville,,,Publisher
War and Peace,Leo Tolstoy,,,Wikipedia
Hamlet,William Shakespeare,,,Wikipedia
The Odyssey,Homer,,,Wikipedia
Madame Bovary,Gustave Flaubert,,,Publisher
The Divine Comedy,Dante Alighieri,,,Publisher
Lolita,Vladimir Nabokov,,,Wikipedia
The Brothers Karamazov,Fyodor Dostoyevsky,,,Publisher
Crime and Punishment,Fyodor Dostoyevsky,,,Publisher
Wuthering Heights,Emily Brontë,,,Wikipedia
The Catcher in the Rye,J. D. Salinger,,,Wikipedia
Pride and Prejudice,Jane Austen,,,Wikipedia
The Adventures of Huckleberry Finn,Mark Twain,,,Publisher
Anna Karenina,Leo Tolstoy,,,Publisher
Alice's Adventures in Wonderland,Lewis Carroll,,,Publisher
The Iliad,Homer,,,Wikipedia
To the Lighthouse,Virginia Woolf,,,Wikipedia
Catch-22,Joseph Heller,,,Wikipedia
Heart of Darkness,Joseph Conrad,,,Wikipedia
The Sound and the Fury,William Faulkner,,,Wikipedia
Nineteen Eighty Four,George Orwell,,,Wikipedia
Great Expectations,Charles Dickens,,,Wikipedia
One Thousand and One Nights,India/Iran/Iraq/Egypt,,,Wikipedia
The Grapes of Wrath,John Steinbeck,,,Wikipedia
Absalom, Absalom!William Faulkner,,,Wikipedia
Invisible Man,Ralph Ellison,,,Wikipedia
To Kill a Mockingbird,Harper Lee,,,Wikipedia
The Trial,Franz Kafka,,,Publisher
The Red and the Black,Stendhal,,,Wikipedia
Middlemarch,George Eliot,,,Wikipedia
Gulliver's Travels,Jonathan Swift,,,Publisher
Beloved,Toni Morrison,,,wikipedia
Mrs. Dalloway,Virginia Woolf,,,Wikipedia
The Stories of Anton Chekhov,Anton Chekhov,,,Wikipedia
The Stranger,Albert Camus,,,Publisher
Jane Eyre,Charlotte Bronte,,,Wikipedia
The Aeneid,Virgil,,,Wikipedia
Collected Fiction,Jorge Luis Borges,,,Publisher
The Sun Also Rises,Ernest Hemingway,,,Wikipedia
David Copperfield,Charles Dickens,,,Publisher
Tristram Shandy,Laurence Sterne,,,Wikipedia
Leaves of Grass,Walt Whitman,,,Wikipedia
The Magic Mountain,Thomas Mann,,,Wikipedia
A Portrait of the Artist as a Young Man,James Joyce,,,Wikipedia
Midnight's Children,Salman Rushdie,,,Wikipedia
Midnight's Children,Salman Rushdie,,,Wikipedia
